followers_count,friends_count,statuses_count
7314,7577,58587
7303,7268,37111
7295,1232,88624
7250,5328,1513
7240,7835,34367
7226,7921,29579
7225,7022,91360
7225,7022,91360
7222,7301,7489
7180,1108,105140
7169,7847,306073
7169,7847,306073
7138,7722,69103
7123,6550,528242
7095,7521,1065472
7033,7490,211574
7033,7490,211579
7033,7490,211585
6995,5652,344556
6983,7066,243825
6961,6854,49162
6948,7195,45399
6948,531,2618
6936,2636,4834
6862,7278,44810
6852,7481,44386
6837,7056,46589
6832,7514,22466
6832,7514,22466
6828,7427,203018
6823,7085,111338
6807,6700,21608
6799,997,84770
6781,1188,211933
6762,34,5875
6759,569,126470
6751,6747,9425
6745,5397,16826
6742,3197,21830
6728,6578,99038
6717,7380,68958
6663,6555,11849
6659,6803,7796
6631,7188,410385
6582,6768,71538
6570,6161,246821
6556,6846,302333
6525,6682,40491
6506,6686,92145
6504,6684,92154
6495,6788,160937
6482,4161,29047
6460,3478,154955
6456,1406,23903
6453,4330,157605
6442,1613,30232
6429,4915,342406
6406,5322,1302
6405,4046,156922
6388,667,91207
6376,5216,141989
6369,6989,78755
6368,6989,78740
6337,6716,21149
6329,2344,122004
6329,2344,122004
6311,6900,358946
6304,6322,117217
6286,5815,75698
6280,6093,107150
6243,6354,34624
6222,5583,12170
6189,2532,46129
6163,145,23766
6160,1886,18102
6151,2071,12371
6132,6418,132444
6113,5391,14216
6105,6705,69413
6090,6226,10692
6085,424,38041
6077,6163,258529
6071,6601,381097
6045,2830,39789
6035,6576,64367
6026,5119,178732
6019,5605,44112
6018,6622,182532
6014,6611,105103
6014,6611,105105
6000,967,26966
6000,6599,50152
5971,6491,194221
5929,6477,86636
5922,4469,31678
5922,4469,31678
5886,5845,104323
5872,5302,26481
5842,5950,75509
5842,5950,75509
5807,220,6054
5776,6347,17922
5760,1114,129547
5750,5580,535329
5750,5580,535329
5745,5677,11578
5739,4091,228620
5710,5176,22732
5710,5176,22732
5709,5172,22731
5709,5175,22731
5708,5933,449690
5701,5483,7309
5697,6138,293258
5688,5761,174881
5666,4983,239894
5646,3764,12553
5612,265,9153
5611,265,9153
5611,265,9153
5610,265,9153
5610,265,9153
5607,0,68828
5584,5759,66763
5579,5488,15223
5566,2065,58322
5558,5006,162793
5535,3631,237342
5505,5561,48244
5499,2651,15876
5488,5579,117339
5477,5644,30349
5455,5944,375376
5445,5097,407406
5440,5101,207423
5426,5964,94690
5408,5238,102475
5399,5738,47918
5356,5430,3986
5342,110,949
5341,652,212658
5315,5360,11443
5303,5318,4762
5302,1323,26904
5302,1323,26904
5302,1323,26904
5281,5702,174260
5275,539,2625
5274,5790,5892
5274,5006,4608
5258,5645,20086
5249,636,10920
5249,4616,183119
5234,2031,18671
5234,2031,18671
5219,4680,162833
5209,5632,28588
5206,5446,12374
5198,5181,6579
5174,1079,7396
5165,4945,99660
5163,5119,8471
5155,5547,12174
5136,4591,188763
5133,1260,136952
5120,5583,146338
5115,5597,108208
5103,5605,79393
5102,1309,6505
5090,5461,5911
5087,5590,177206
5069,556,7995
5066,472,7044
5059,460,12394
5056,5376,20758
5050,4243,158026
5045,4602,31696
5043,3493,116106
5040,5132,37616
5038,907,6534
5031,4427,57445
5011,5009,321647
5011,5009,321648
4999,1021,256291
4968,2398,33052
4959,1802,35444
4952,3613,176103
4932,5372,43096
4895,4711,103088
4884,4997,456554
4881,2226,50981
4868,1432,5028
4868,1432,5029
4859,3176,2953
4827,2715,33904
4801,5286,68344
4801,5286,68346
4796,5245,46866
4776,4975,77506
4774,4977,77507
4770,4414,48568
4719,4780,16499
4715,4695,21008
4712,4714,41992
4686,2108,2964
4679,2107,2960
4677,2107,2958
4676,4752,22294
4673,5117,36508
4658,4554,25143
4657,280,94764
4644,5082,110050
4619,502,5679
4616,4235,129546
4604,4803,384986
4589,5055,91607
4589,5055,91607
4588,3839,19561
4588,3839,19561
4579,4907,45394
4576,5003,178364
4574,323,77496
4573,1001,6292
4568,709,25900
4550,4992,62735
4546,2158,22748
4538,4517,49101
4532,4989,11166
4521,985,124642
4510,490,65606
4499,3607,101938
4498,359,23307
4498,359,23307
4498,359,23307
4478,3403,32297
4477,3403,32310
4439,4080,17433
4428,4544,67943
4428,497,93679
4418,3392,4074
4412,4073,2064187
4398,4918,99577
4398,4918,99579
4382,1,13538
4380,4999,209846
4378,4993,49946
4370,2220,9830
4361,4265,24454
4347,2319,136147
4347,2319,136149
4347,2319,136156
4347,2319,136158
4347,2319,136160
4341,4999,493500
4340,5001,17692
4328,4795,14496
4322,4987,31553
4296,1225,5953
4292,1501,91958
4277,5000,85734
4275,4944,9328
4274,4996,40270
4263,3,90312
4263,3,90312
4261,3866,84288
4260,558,35889
4225,4657,16336
4210,1279,589626
4209,4992,26339
4199,4966,183277
4166,4813,24495
