followers_count,friends_count,statuses_count
1352,393,69588
2211,1223,2232
2,12,43
382,784,1004
1054,2249,8488
27,82,89
164,373,25285
131,350,9412
1163,1833,20550
357,1326,19735
224,658,10963
1447,1717,15677
13,175,840
492,375,1568
0,11,9
3000,4995,27991
392,836,1736
28683,26149,119644
1017,317,20499
1565,3917,14713
210,217,1029
1811,3146,7121
13283,13678,59782
73,69,206
96,384,3127
49,382,1577
405,535,1712
38,128,8987
938,1308,2901
373,319,31717
1,1,32
189,721,2320
298,735,19117
742,783,15895
587,177,74485
115,741,13386
1770,1848,51105
5,18,990
1336,630,15398
11,154,10499
489,593,9265
1355,4489,29192
867,2138,30354
222,417,10948
3143,1275,40325
15,373,577
31,313,2064
353,500,3743
47,184,57763
14,131,50
134,160,85436
1,106,1224
2562,5000,40256
1221,3357,100415
13172,13295,36489
57,297,208
160,587,65040
46,112,8681
245,370,4561
6243,6354,34624
5258,5645,20086
278,294,3307
19169,18411,645995
3151,2745,6207
87,68,589
1896,2461,18273
1158,1086,6082
190,350,2780
769,1720,30631
2,19,959
155,91,25285
550,431,7586
329,1034,9571
109,293,23440
266,490,608
90,301,20468
64,166,407
11,23,723
206,849,907
228,987,6955
239,259,9830
236,84,2263
491,850,10190
883,1773,16394
16488,8389,64206
237,131,18274
8,33,732
653,795,60235
2997,2370,58059
42,229,96
4398,4918,99577
24656,10271,21661
6495,6788,160937
1816,852,6014
9690,10365,40040
406,468,20835
3776,4735,44388
167,523,2787
1747,2966,36478
1069,734,88122
1,45,6295
160,152,7323
127,291,11256
1379,2237,3810
18,38,4726
1878,1308,21778
803,1082,14152
2114,217,435486
238,667,7697
1363,727,55141
196,592,22655
6807,6700,21608
428,1250,71585
34,59,699
1988,4916,53066
270,579,2219
11276,10220,63279
788,736,141269
2949,3385,9002
531,690,8184
2398,1837,3363
1816,852,6014
418,327,13337
1229,991,3700
3098,3118,244995
5,18,1075
3526,3547,17451
184,71,19414
156,672,530
89485,20856,27580
1832,1572,23915
134,574,331
3246,3495,71366
682,436,45660
14605,505,114161
25,138,826
171,388,9375
678,602,70322
176,212,746
936,1511,23517
480,837,5396
1816,852,6014
994,69,171442
103,399,11760
453,1282,11879
31004,32915,673446
266,416,2437
127,47,16197
740,90,21014
133,893,2112
124,100,659
3275,3367,9409
5,223,483
29,546,897
6,957,73
104,87,3009
477,828,21656
334,450,16045
25,459,3893
1885,2631,17189
388,782,15817
2321,2531,28046
1816,852,6014
1257,1390,45474
1475,4978,33519
393,348,2719
2318,3742,6483
66,181,805
1796,4331,54528
637,606,1778
4,19,254
19,101,669
55,122,9423
1453,2054,14314
1881,3757,195135
863,1377,15938
71,64,3384
52,177,2112
211,177,42369
19672,18915,21098
142,263,1991
231,903,22335
58,186,18805
215,239,4398
815,500,42652
4361,4265,24454
50,288,3988
168,162,3376
54,303,19
48,516,2185
625,751,26019
5102,1309,6505
391,790,821
208,829,5349
8934,9112,550877
1816,852,6014
110,121,3273
627,136,8321
507,477,1250
747,754,2180
3131,4948,81935
5045,4602,31696
39,174,562
423,316,2356
253,408,5787
772,398,145482
1435,131,2753
203,155,20979
595,1498,67818
46,122,12039
438,200,4124
2492,823,133457
96,103,1012
1848,1584,86313
11,78,846
4341,4999,493500
228,374,28684
1570,1486,54102
1780,1757,19067
54,126,377
84,994,6605
10493,9947,162720
25081,3107,63391
242,344,14314
357,611,15297
47448,45553,153949
492,560,9503
1386,1381,79732
786,295,107317
231,903,22335
323,478,8797
19,101,268
315,371,5571
94,228,65051
48,254,5088
260,237,2308
5688,5761,174881
34,171,1247
291,630,1637
3070,4190,10197
224,237,4918
532,1425,12738
11999,12190,11261
36,145,1607
173,459,1306
742,732,18709
1137,378,60987
10847,11601,101077
306,302,16499
409,773,37629
30,286,974
49,47,4631
14,386,1133
144,312,1569
142,72,43859
55,1155,463
89,507,2666
9333,9302,352823
57,74,114
1776,2038,11274
376,567,518
146,213,1765
124,131,1046
1157,397,16416
304,353,14437
20,271,855
749,151,14302
2367,662,894
357,541,31469
41,132,523
46,59,22448
15,134,1056
9586,10540,91981
1496,5001,401170
382,2279,80057
48,102,2525
463,581,35261
11983,12092,261503
378,566,3715
4576,5003,178364
143,212,30923
34056,37466,332218
2354,4331,22755
22313,23616,18573
106,54,7297
8617,9008,23830
15,21,49
106,664,5761
169,250,836
288,317,16762
16,66,2306
50803,51455,366181
291,361,10422
1007,567,90762
8888,8923,8121
96,158,8083
712,1212,2645
1750,2113,14559
1377,1963,67905
371,513,18820
3566,3011,134720
421,369,6017
8,50,55
7,243,3414
558,574,46312
527,398,10494
26,39,3219
31,365,862
278,294,3307
41,157,217
34587,24454,95723
1620,1944,11812
677,1110,9199
127,377,30034
30,222,899
6429,4915,342406
119,150,6576
212,1599,51674
274,148,4769
38,273,827
210,573,12356
196,366,5401
312,337,11855
445,433,3286
5607,0,68828
51,764,10100
33,96,1065
354,1392,4382
2717,4997,141055
4296,1225,5953
7905,7812,43142
77,223,1560
662,536,18807
0,0,6
99,236,302
158,274,2845
696,154,1411
249,630,9595
366,331,13447
184,321,14626
2152,2031,55889
20,113,1301
55,373,7338
231,1844,1784
55,125,3519
39,43,3131
9535,4841,79987
165,425,11540
3261,4996,93694
65,100,1248
53,333,1969
27642,27638,21154
799,424,41967
1056,1824,32522
